,train,val,test
Pancalyze_HE_9_C-6,True,False,False
Pancalyze_HE_1_E-5,True,False,False
Pancalyze_HE_1_E-6,True,False,False
Pancalyze_HE_9_D-3,True,False,False
Pancalyze_HE_9_D-4,True,False,False
Pancalyze_HE_9_D-9,True,False,False
Pancalyze_HE_9_D-10,True,False,False
Pancalyze_HE_9_E-1,True,False,False
Pancalyze_HE_9_E-2,True,False,False
Pancalyze_HE_9_F-3,True,False,False
Pancalyze_HE_9_F-4,True,False,False
Pancalyze_HE_9_F-5,True,False,False
Pancalyze_HE_9_F-6,True,False,False
Pancalyze_HE_9_F-11,True,False,False
Pancalyze_HE_9_G-11,True,False,False
Pancalyze_HE_9_G-12,True,False,False
Pancalyze_HE_9_H-1,True,False,False
Pancalyze_HE_9_H-2,True,False,False
Pancalyze_HE_1_F-1,True,False,False
Pancalyze_HE_1_F-2,True,False,False
Pancalyze_HE_1_F-3,True,False,False
Pancalyze_HE_1_F-4,True,False,False
Pancalyze_HE_1_F-7,True,False,False
Pancalyze_HE_1_F-8,True,False,False
Pancalyze_HE_1_F-9,True,False,False
Pancalyze_HE_1_G-7,True,False,False
Pancalyze_HE_1_G-8,True,False,False
Pancalyze_HE_1_G-11,True,False,False
Pancalyze_HE_1_G-12,True,False,False
Pancalyze_HE_1_H-7,True,False,False
Pancalyze_HE_1_H-8,True,False,False
Pancalyze_HE_1_A-7,True,False,False
Pancalyze_HE_1_A-8,True,False,False
Pancalyze_HE_1_H-9,True,False,False
Pancalyze_HE_1_H-10,True,False,False
Pancalyze_HE_2_A-5,True,False,False
Pancalyze_HE_2_A-6,True,False,False
Pancalyze_HE_2_B-1,True,False,False
Pancalyze_HE_2_B-2,True,False,False
Pancalyze_HE_2_B-3,True,False,False
Pancalyze_HE_2_B-4,True,False,False
Pancalyze_HE_2_B-5,True,False,False
Pancalyze_HE_2_B-6,True,False,False
Pancalyze_HE_2_B-7,True,False,False
Pancalyze_HE_2_B-8,True,False,False
Pancalyze_HE_2_C-1,True,False,False
Pancalyze_HE_2_C-2,True,False,False
Pancalyze_HE_2_C-3,True,False,False
Pancalyze_HE_2_C-4,True,False,False
Pancalyze_HE_2_D-5,True,False,False
Pancalyze_HE_2_D-6,True,False,False
Pancalyze_HE_2_D-9,True,False,False
Pancalyze_HE_2_D-10,True,False,False
Pancalyze_HE_2_E-1,True,False,False
Pancalyze_HE_2_E-2,True,False,False
Pancalyze_HE_2_E-11,True,False,False
Pancalyze_HE_2_E-12,True,False,False
Pancalyze_HE_2_F-1,True,False,False
Pancalyze_HE_2_F-2,True,False,False
Pancalyze_HE_2_F-11,True,False,False
Pancalyze_HE_2_F-12,True,False,False
Pancalyze_HE_1_B-3,True,False,False
Pancalyze_HE_1_B-4,True,False,False
Pancalyze_HE_2_G-1,True,False,False
Pancalyze_HE_2_G-2,True,False,False
Pancalyze_HE_5_E-9,True,False,False
Pancalyze_HE_5_E-10,True,False,False
Pancalyze_HE_4_H-9,True,False,False
Pancalyze_HE_4_H-10,True,False,False
Pancalyze_HE_4_C-11,True,False,False
Pancalyze_HE_4_C-12,True,False,False
Pancalyze_HE_5_F-11,True,False,False
Pancalyze_HE_5_F-12,True,False,False
Pancalyze_HE_4_C-9,True,False,False
Pancalyze_HE_4_C-10,True,False,False
Pancalyze_HE_5_C-9,True,False,False
Pancalyze_HE_5_C-10,True,False,False
Pancalyze_HE_5_A-7,True,False,False
Pancalyze_HE_5_A-8,True,False,False
Pancalyze_HE_4_E-3,True,False,False
Pancalyze_HE_4_E-4,True,False,False
Pancalyze_HE_4_F-11,True,False,False
Pancalyze_HE_4_F-12,True,False,False
Pancalyze_HE_5_C-5,True,False,False
Pancalyze_HE_5_C-6,True,False,False
Pancalyze_HE_5_C-7,True,False,False
Pancalyze_HE_5_C-8,True,False,False
Pancalyze_HE_5_D-1,True,False,False
Pancalyze_HE_5_D-2,True,False,False
Pancalyze_HE_5_D-3,True,False,False
Pancalyze_HE_5_D-4,True,False,False
Pancalyze_HE_4_D-11,True,False,False
Pancalyze_HE_4_D-12,True,False,False
Pancalyze_HE_5_G-9,True,False,False
Pancalyze_HE_5_G-10,True,False,False
Pancalyze_HE_4_E-11,True,False,False
Pancalyze_HE_4_E-12,True,False,False
Pancalyze_HE_5_H-2,True,False,False
Pancalyze_HE_5_B-1,True,False,False
Pancalyze_HE_5_B-2,True,False,False
Pancalyze_HE_4_D-3,True,False,False
Pancalyze_HE_4_D-4,True,False,False
Pancalyze_HE_5_E-11,True,False,False
Pancalyze_HE_5_E-12,True,False,False
Pancalyze_HE_5_A-1,True,False,False
Pancalyze_HE_5_A-2,True,False,False
Pancalyze_HE_5_B-11,True,False,False
Pancalyze_HE_4_G-9,True,False,False
Pancalyze_HE_4_G-10,True,False,False
Pancalyze_HE_4_F-3,True,False,False
Pancalyze_HE_4_F-4,True,False,False
Pancalyze_HE_5_F-1,True,False,False
Pancalyze_HE_5_F-2,True,False,False
Pancalyze_HE_4_F-5,True,False,False
Pancalyze_HE_4_F-6,True,False,False
Pancalyze_HE_2_H-5,True,False,False
Pancalyze_HE_2_H-6,True,False,False
Pancalyze_HE_3_A-3,True,False,False
Pancalyze_HE_3_A-4,True,False,False
Pancalyze_HE_3_B-11,True,False,False
Pancalyze_HE_3_B-12,True,False,False
Pancalyze_HE_3_C-7,True,False,False
Pancalyze_HE_3_C-8,True,False,False
Pancalyze_HE_1_B-7,True,False,False
Pancalyze_HE_1_B-8,True,False,False
Pancalyze_HE_3_D-5,True,False,False
Pancalyze_HE_3_D-6,True,False,False
Pancalyze_HE_3_D-7,True,False,False
Pancalyze_HE_3_D-8,True,False,False
Pancalyze_HE_3_E-3,True,False,False
Pancalyze_HE_3_E-4,True,False,False
Pancalyze_HE_3_E-9,True,False,False
Pancalyze_HE_3_E-10,True,False,False
Pancalyze_HE_3_F-5,True,False,False
Pancalyze_HE_3_F-6,True,False,False
Pancalyze_HE_3_G-1,True,False,False
Pancalyze_HE_3_G-2,True,False,False
Pancalyze_HE_3_G-3,True,False,False
Pancalyze_HE_3_G-4,True,False,False
Pancalyze_HE_3_H-3,True,False,False
Pancalyze_HE_3_H-4,True,False,False
Pancalyze_HE_4_A-1,True,False,False
Pancalyze_HE_4_A-2,True,False,False
Pancalyze_HE_4_B-3,True,False,False
Pancalyze_HE_4_B-4,True,False,False
Pancalyze_HE_6_B-1,True,False,False
Pancalyze_HE_6_B-2,True,False,False
Pancalyze_HE_6_D-3,True,False,False
Pancalyze_HE_6_D-4,True,False,False
Pancalyze_HE_6_D-7,True,False,False
Pancalyze_HE_6_D-8,True,False,False
Pancalyze_HE_6_D-9,True,False,False
Pancalyze_HE_6_D-10,True,False,False
Pancalyze_HE_6_F-11,True,False,False
Pancalyze_HE_6_F-12,True,False,False
Pancalyze_HE_6_G-5,True,False,False
Pancalyze_HE_6_G-6,True,False,False
Pancalyze_HE_6_G-7,True,False,False
Pancalyze_HE_6_G-8,True,False,False
Pancalyze_HE_6_G-9,True,False,False
Pancalyze_HE_6_G-10,True,False,False
Pancalyze_HE_7_A-11,True,False,False
Pancalyze_HE_7_A-12,True,False,False
Pancalyze_HE_7_B-1,True,False,False
Pancalyze_HE_7_B-2,True,False,False
Pancalyze_HE_7_B-11,True,False,False
Pancalyze_HE_7_B-12,True,False,False
Pancalyze_HE_7_D-7,True,False,False
Pancalyze_HE_7_D-8,True,False,False
Pancalyze_HE_1_D-5,True,False,False
Pancalyze_HE_1_D-6,True,False,False
Pancalyze_HE_7_F-5,True,False,False
Pancalyze_HE_7_F-6,True,False,False
Pancalyze_HE_7_F-11,True,False,False
Pancalyze_HE_7_H-7,True,False,False
Pancalyze_HE_7_H-8,True,False,False
Pancalyze_HE_8_A-9,True,False,False
Pancalyze_HE_8_A-10,True,False,False
Pancalyze_HE_8_B-12,True,False,False
Pancalyze_HE_8_C-1,True,False,False
Pancalyze_HE_8_C-2,True,False,False
Pancalyze_HE_8_C-9,True,False,False
Pancalyze_HE_8_C-10,True,False,False
Pancalyze_HE_8_D-1,True,False,False
Pancalyze_HE_8_D-2,True,False,False
Pancalyze_HE_8_D-7,True,False,False
Pancalyze_HE_8_D-8,True,False,False
Pancalyze_HE_8_E-1,True,False,False
Pancalyze_HE_8_E-2,True,False,False
Pancalyze_HE_8_F-9,True,False,False
Pancalyze_HE_8_F-10,True,False,False
Pancalyze_HE_8_G-5,True,False,False
Pancalyze_HE_8_G-6,True,False,False
Pancalyze_HE_8_H-6,True,False,False
Pancalyze_HE_8_H-7,True,False,False
Pancalyze_HE_8_H-8,True,False,False
Pancalyze_HE_8_H-11,True,False,False
Pancalyze_HE_9_B-5,True,False,False
Pancalyze_HE_9_B-6,True,False,False
Pancalyze_HE_9_B-7,True,False,False
Pancalyze_HE_9_B-8,True,False,False
Pancalyze_HE_9_C-1,True,False,False
Pancalyze_HE_9_C-2,True,False,False
Pancalyze_HE_9_C-9,True,False,False
Pancalyze_HE_9_C-10,True,False,False
Pancalyze_HE_9_D-6,True,False,False
Pancalyze_HE_9_D-7,True,False,False
Pancalyze_HE_9_D-8,True,False,False
Pancalyze_HE_9_E-3,True,False,False
Pancalyze_HE_9_E-4,True,False,False
Pancalyze_HE_9_E-5,True,False,False
Pancalyze_HE_9_E-6,True,False,False
Pancalyze_HE_9_E-7,True,False,False
Pancalyze_HE_9_E-8,True,False,False
Pancalyze_HE_9_E-11,True,False,False
Pancalyze_HE_9_E-12,True,False,False
Pancalyze_HE_9_F-9,True,False,False
Pancalyze_HE_9_F-10,True,False,False
Pancalyze_HE_1_E-9,True,False,False
Pancalyze_HE_9_H-5,True,False,False
Pancalyze_HE_9_H-6,True,False,False
Pancalyze_HE_1_E-11,True,False,False
Pancalyze_HE_1_E-12,True,False,False
Pancalyze_HE_1_F-11,True,False,False
Pancalyze_HE_1_F-12,True,False,False
Pancalyze_HE_1_G-3,True,False,False
Pancalyze_HE_1_G-4,True,False,False
Pancalyze_HE_1_G-5,True,False,False
Pancalyze_HE_1_G-6,True,False,False
Pancalyze_HE_2_C-7,True,False,False
Pancalyze_HE_2_C-8,True,False,False
Pancalyze_HE_2_E-9,True,False,False
Pancalyze_HE_2_E-10,True,False,False
Pancalyze_HE_2_F-9,True,False,False
Pancalyze_HE_2_F-10,True,False,False
Pancalyze_HE_2_F-7,True,False,False
Pancalyze_HE_2_F-8,True,False,False
Pancalyze_HE_2_G-3,True,False,False
Pancalyze_HE_2_G-4,True,False,False
Pancalyze_HE_2_G-7,True,False,False
Pancalyze_HE_2_G-8,True,False,False
Pancalyze_HE_2_G-9,True,False,False
Pancalyze_HE_2_G-10,True,False,False
Pancalyze_HE_1_B-5,True,False,False
Pancalyze_HE_1_B-6,True,False,False
Pancalyze_HE_4_D-1,True,False,False
Pancalyze_HE_4_D-2,True,False,False
Pancalyze_HE_4_G-11,True,False,False
Pancalyze_HE_4_G-12,True,False,False
Pancalyze_HE_5_E-3,True,False,False
Pancalyze_HE_5_E-4,True,False,False
Pancalyze_HE_4_G-7,True,False,False
Pancalyze_HE_4_G-8,True,False,False
Pancalyze_HE_5_F-5,True,False,False
Pancalyze_HE_5_F-6,True,False,False
Pancalyze_HE_4_G-1,True,False,False
Pancalyze_HE_4_G-2,True,False,False
Pancalyze_HE_4_E-7,True,False,False
Pancalyze_HE_4_E-8,True,False,False
Pancalyze_HE_4_E-9,True,False,False
Pancalyze_HE_4_E-10,True,False,False
Pancalyze_HE_4_C-7,True,False,False
Pancalyze_HE_4_C-8,True,False,False
Pancalyze_HE_4_H-11,True,False,False
Pancalyze_HE_4_H-12,True,False,False
Pancalyze_HE_4_H-3,True,False,False
Pancalyze_HE_4_H-4,True,False,False
Pancalyze_HE_5_H-9,True,False,False
Pancalyze_HE_5_H-10,True,False,False
Pancalyze_HE_5_E-1,True,False,False
Pancalyze_HE_5_E-2,True,False,False
Pancalyze_HE_7_F-4,False,True,False
Pancalyze_HE_2_B-9,False,True,False
Pancalyze_HE_2_B-10,False,True,False
Pancalyze_HE_9_D-12,False,True,False
Pancalyze_HE_5_H-3,False,True,False
Pancalyze_HE_5_H-4,False,True,False
Pancalyze_HE_4_G-5,False,True,False
Pancalyze_HE_4_G-6,False,True,False
Pancalyze_HE_3_D-9,False,True,False
Pancalyze_HE_3_D-10,False,True,False
Pancalyze_HE_1_H-11,False,True,False
Pancalyze_HE_1_H-12,False,True,False
Pancalyze_HE_4_F-9,False,True,False
Pancalyze_HE_4_F-10,False,True,False
Pancalyze_HE_3_F-7,False,True,False
Pancalyze_HE_3_F-8,False,True,False
Pancalyze_HE_3_C-1,False,True,False
Pancalyze_HE_3_C-2,False,True,False
Pancalyze_HE_5_C-1,False,True,False
Pancalyze_HE_5_C-2,False,True,False
Pancalyze_HE_4_B-7,False,True,False
Pancalyze_HE_4_B-8,False,True,False
Pancalyze_HE_4_D-5,False,True,False
Pancalyze_HE_4_D-6,False,True,False
Pancalyze_HE_6_F-3,False,True,False
Pancalyze_HE_6_F-4,False,True,False
Pancalyze_HE_4_H-5,False,True,False
Pancalyze_HE_4_H-6,False,True,False
Pancalyze_HE_2_H-1,False,True,False
Pancalyze_HE_2_H-2,False,True,False
Pancalyze_HE_9_A-9,False,True,False
Pancalyze_HE_9_A-10,False,True,False
Pancalyze_HE_9_A-11,False,True,False
Pancalyze_HE_9_A-12,False,True,False
Pancalyze_HE_5_B-7,False,True,False
Pancalyze_HE_5_B-8,False,True,False
Pancalyze_HE_9_C-11,False,True,False
Pancalyze_HE_9_C-12,False,True,False
Pancalyze_HE_5_A-5,False,True,False
Pancalyze_HE_5_A-6,False,True,False
Pancalyze_HE_5_H-5,False,True,False
Pancalyze_HE_5_H-6,False,True,False
Pancalyze_HE_5_H-7,False,True,False
Pancalyze_HE_5_H-8,False,True,False
Pancalyze_HE_2_E-7,False,True,False
Pancalyze_HE_2_E-8,False,True,False
Pancalyze_HE_4_F-7,False,True,False
Pancalyze_HE_4_F-8,False,True,False
Pancalyze_HE_1_C-7,False,True,False
Pancalyze_HE_1_C-8,False,True,False
Pancalyze_HE_6_E-3,False,True,False
Pancalyze_HE_6_E-4,False,True,False
Pancalyze_HE_1_D-11,False,True,False
Pancalyze_HE_1_D-12,False,True,False
Pancalyze_HE_1_B-1,False,False,True
Pancalyze_HE_1_B-2,False,False,True
Pancalyze_HE_5_C-11,False,False,True
Pancalyze_HE_5_C-12,False,False,True
Pancalyze_HE_2_G-11,False,False,True
Pancalyze_HE_2_G-12,False,False,True
Pancalyze_HE_8_G-2,False,False,True
Pancalyze_HE_7_B-3,False,False,True
Pancalyze_HE_7_B-4,False,False,True
Pancalyze_HE_6_C-7,False,False,True
Pancalyze_HE_6_C-8,False,False,True
Pancalyze_HE_4_E-1,False,False,True
Pancalyze_HE_4_E-2,False,False,True
Pancalyze_HE_2_H-11,False,False,True
Pancalyze_HE_2_H-12,False,False,True
Pancalyze_HE_6_B-9,False,False,True
Pancalyze_HE_6_B-10,False,False,True
Pancalyze_HE_8_A-1,False,False,True
Pancalyze_HE_8_A-2,False,False,True
Pancalyze_HE_8_A-3,False,False,True
Pancalyze_HE_8_A-4,False,False,True
Pancalyze_HE_5_E-5,False,False,True
Pancalyze_HE_5_E-6,False,False,True
Pancalyze_HE_1_H-5,False,False,True
Pancalyze_HE_1_H-6,False,False,True
Pancalyze_HE_5_B-9,False,False,True
Pancalyze_HE_5_B-10,False,False,True
Pancalyze_HE_8_F-7,False,False,True
Pancalyze_HE_8_F-8,False,False,True
Pancalyze_HE_9_C-3,False,False,True
Pancalyze_HE_9_C-4,False,False,True
Pancalyze_HE_5_G-3,False,False,True
Pancalyze_HE_5_G-4,False,False,True
Pancalyze_HE_3_H-5,False,False,True
Pancalyze_HE_3_H-6,False,False,True
Pancalyze_HE_2_A-1,False,False,True
Pancalyze_HE_2_A-2,False,False,True
Pancalyze_HE_9_G-1,False,False,True
Pancalyze_HE_9_G-2,False,False,True
Pancalyze_HE_2_D-3,False,False,True
Pancalyze_HE_2_D-4,False,False,True
Pancalyze_HE_1_A-11,False,False,True
Pancalyze_HE_1_A-12,False,False,True
Pancalyze_HE_4_C-5,False,False,True
Pancalyze_HE_4_C-6,False,False,True
Pancalyze_HE_4_B-5,False,False,True
Pancalyze_HE_4_B-6,False,False,True
Pancalyze_HE_6_A-11,False,False,True
Pancalyze_HE_6_A-12,False,False,True
Pancalyze_HE_6_F-5,False,False,True
Pancalyze_HE_6_F-6,False,False,True
Pancalyze_HE_3_A-11,False,False,True
Pancalyze_HE_3_A-12,False,False,True
